sma_window1,sma_window2,ema_window1,ema_window2,macd_fastperiod,macd_slowperiod,macd_signalperiod,adx_window,sar_acceleration,sar_maximum,obv_window,ad_window,adosc_fastperiod,adosc_slowperiod,mfi_window,custom_volume_window,rsi_window,stoch_fastk,stoch_slowk,stoch_slowk_matype,stoch_slowd,stoch_slowd_matype,cci_window,willr_window,mom_window,cmo_window,dx_window,macdext_fast,macdext_fast_matype,macdext_slow,macdext_slow_matype,macdext_signal,macdext_signal_matype,macdfix_window,minus_di_window,minus_dm_window,plus_di_window,plus_dm_window,ppo_fast,ppo_slow,ppo_matype,roc_window,rocp_window,rocr_window,rocr100_window,stochf_fastk,stochf_fastd,stochf_fastd_matype,stochrsi_time,stochrsi_fastk,stochrsi_fastd,stochrsi_fastd_matype,trix_window,ultosc_p1,ultosc_p2,ultosc_p3,atr_window,natr_window,trange_window,bbands_timeperiod,bbands_nbdevup,bbands_nbdevdn,bbands_matype,stddev_window,value
21,58,31,59,11,21,14,28,0.013841435589095102,0.18793136832712845,13,16,10,13,23,26,9,9,3,3,4,3,10,23,12,24,15,6,1,39,2,11,2,13,11,20,16,17,15,26,3,20,15,7,6,8,2,2,19,2,3,0,17,7,10,29,13,11,10,23,2.457563018028499,2.20930487339998,1,14,376.29
35,48,28,70,6,34,15,25,0.022910035308236952,0.39523741650822725,21,12,8,15,27,19,7,7,4,2,2,4,15,25,8,11,12,9,3,32,0,6,0,15,19,14,12,13,19,29,3,19,17,6,8,9,4,2,17,3,5,2,12,5,13,33,19,13,28,28,2.636120411737373,2.6057926951805386,1,13,401.65
29,68,24,46,8,24,12,26,0.02107410796000186,0.2734525695183194,16,19,10,11,19,27,11,11,2,3,2,1,27,17,7,16,11,6,2,35,3,9,3,8,24,12,15,23,17,21,0,18,19,16,7,13,3,4,22,5,4,4,24,8,14,25,27,15,26,19,1.9342904325407269,2.804245674591953,2,10,405.93
32,48,26,52,11,32,12,24,0.02676512395268652,0.1280074791638487,17,19,9,12,25,25,8,13,3,2,2,3,13,21,7,20,10,6,2,32,3,10,2,14,29,19,16,26,18,27,2,19,16,6,6,10,5,3,19,2,4,0,20,6,13,30,15,12,24,27,2.288140817228192,2.417543404145394,1,10,442.52
34,42,28,51,10,33,13,24,0.030102778095942147,0.1533484710171253,17,20,9,13,19,22,7,13,3,2,2,4,14,20,6,21,10,13,2,31,4,10,2,14,27,18,15,27,19,24,2,19,16,5,5,9,5,3,16,2,4,0,21,5,13,27,14,12,23,26,2.246972474155176,2.3600394453638036,1,11,484.53
38,41,28,54,10,29,13,21,0.029304490494512895,0.14843448926918665,14,20,8,13,11,21,7,14,3,2,2,4,14,20,5,21,11,13,2,30,4,10,2,15,28,17,18,28,20,24,2,20,17,7,5,9,5,3,16,2,3,0,23,5,12,27,14,13,22,29,2.1995386473329566,2.3570842115076345,1,12,470.1
38,42,32,54,10,29,13,21,0.03021589703054499,0.16122079535715841,14,20,8,13,30,21,17,15,3,2,2,4,11,20,5,23,11,13,2,30,4,10,2,15,28,23,18,30,20,24,2,20,17,5,5,10,5,3,16,2,4,0,22,5,13,24,14,10,22,26,2.1827840429229046,2.459963171760412,1,11,465.26
38,42,33,54,10,29,13,18,0.03485544671988783,0.15076065258260463,11,20,8,13,30,22,28,15,3,1,2,4,11,19,5,23,12,13,1,30,4,11,2,15,28,23,18,29,20,21,2,20,15,5,5,10,5,3,14,2,4,0,23,5,15,23,14,10,23,26,2.1808510346874073,2.3240714294451683,1,11,457.1
39,41,32,56,10,31,13,21,0.03325313257481556,0.17210659226821845,14,20,8,10,17,21,17,14,3,2,2,4,12,20,5,21,11,14,2,28,4,9,2,15,29,23,20,30,19,23,2,19,17,5,5,18,5,3,16,2,4,0,21,5,14,24,11,10,23,29,2.3596582886786406,2.459325622510421,1,13,462.03
39,40,35,55,9,27,13,21,0.03355544611097197,0.17352905764100074,14,20,8,10,16,22,16,14,3,2,2,4,11,18,5,21,11,14,2,28,4,9,2,15,30,26,20,30,19,23,2,20,17,5,5,17,5,3,16,2,4,0,22,5,14,21,11,10,22,25,2.342469761834004,2.5275301531810896,1,13,475.4
40,44,35,59,12,26,11,19,0.03736880591817006,0.15788772446760774,13,20,8,11,18,23,17,17,3,2,3,4,10,15,5,22,12,15,1,27,4,10,2,15,30,27,21,29,20,24,1,20,17,7,5,18,5,4,15,2,5,0,22,5,12,22,11,10,22,25,2.2216409804765327,2.6599181050835825,1,14,423.42
35,43,38,56,9,27,13,19,0.0301110339160953,0.11155472224306281,11,20,7,22,16,22,22,16,3,2,3,4,11,18,6,23,13,14,2,34,4,9,1,15,30,28,22,30,19,22,2,20,16,5,13,17,5,3,12,2,4,1,25,5,15,20,13,11,20,25,2.1419827787838055,2.528833958856851,2,11,400.86
36,41,5,64,9,29,11,21,0.03203702933748017,0.1784708689599614,12,20,8,10,16,21,18,14,3,1,2,4,14,17,6,19,21,12,1,29,4,11,2,14,26,25,19,28,20,24,2,17,13,7,5,21,5,3,13,2,4,0,23,6,15,21,12,24,25,23,2.448770682633867,2.542449874136939,1,16,482.19
36,41,5,64,9,29,11,21,0.032506431844486865,0.1723607226788683,12,20,8,10,16,20,18,14,3,1,2,4,14,17,6,19,22,13,1,29,4,12,2,14,28,26,20,28,20,24,2,7,13,7,5,20,5,3,13,2,4,0,23,5,15,22,12,28,25,23,2.4443364309225215,2.562926754153308,1,13,482.96
36,40,5,64,8,26,9,23,0.03247615270470243,0.17656963062519793,12,19,7,10,16,20,19,14,3,1,2,4,14,15,6,19,22,12,0,28,4,12,2,14,26,30,20,28,19,21,2,6,13,7,5,21,5,3,10,2,4,0,23,6,15,21,12,26,25,22,2.436543412223192,2.549663305032167,1,16,482.69
36,40,5,64,9,26,9,22,0.03274041212575204,0.17917503300950843,12,19,7,10,16,20,19,14,3,1,2,4,14,15,6,19,22,12,0,28,4,11,2,14,26,30,20,27,19,20,2,6,12,9,5,21,5,3,10,2,4,0,23,6,17,21,12,27,25,22,2.5878031972814886,2.5585621972123764,1,16,469.71
36,46,9,70,8,23,8,23,0.03669521750432069,0.13318378146998366,10,20,7,10,16,17,18,12,3,1,2,4,16,12,6,21,24,15,0,29,4,12,2,14,26,26,19,28,19,21,2,7,11,7,5,20,5,3,11,2,4,0,24,6,16,21,11,28,25,23,2.4383190698881183,2.5303900069715097,1,18,484.28
36,46,7,70,8,22,7,23,0.03652913005433168,0.1318336215452946,10,7,7,10,16,17,18,12,3,0,2,4,16,12,16,17,25,16,0,26,4,12,2,14,26,26,21,27,19,21,2,7,11,7,6,20,5,3,11,2,4,1,25,6,16,21,10,29,27,23,2.4360445164562967,2.5339856072335585,1,18,387.69
34,45,8,68,8,24,8,20,0.0417197266958816,0.2215722428528822,10,19,7,11,14,18,20,12,3,1,2,4,30,13,6,18,21,15,0,29,4,13,2,14,25,28,23,24,18,22,1,8,9,8,7,20,5,3,11,2,4,0,24,6,16,21,11,25,25,24,2.518353229420423,2.4553460744559747,1,17,462.0
40,53,9,74,9,25,8,22,0.03169076215815941,0.18411913464595628,12,20,7,10,17,15,16,13,3,1,2,4,18,10,8,21,25,17,0,31,4,11,2,13,29,29,19,25,17,47,2,7,11,10,6,21,5,3,12,2,4,0,21,6,15,20,13,28,25,21,2.696848638188634,2.6289236559113056,1,19,430.85
37,44,10,67,8,24,10,23,0.03376271389457437,0.11724263031100232,11,19,8,11,15,20,21,14,3,1,2,4,17,11,8,19,23,14,0,26,4,12,2,14,27,26,22,28,19,20,2,6,13,20,5,19,5,3,13,2,4,1,24,6,17,22,11,24,28,22,2.3871540431567673,2.7542016400447773,1,20,350.87
35,47,5,63,9,23,9,23,0.036004936236177475,0.16835641543301194,11,18,6,10,19,12,18,12,3,1,2,4,15,14,6,18,24,12,0,31,4,14,2,13,26,26,19,29,18,34,2,8,14,7,7,19,5,3,10,2,4,0,22,6,15,20,12,30,26,20,2.5567719003705656,2.4976615740747623,1,18,445.99
34,40,12,74,9,27,7,20,0.03835154691282352,0.4937527444426888,10,20,7,11,18,17,16,13,3,0,2,0,14,16,20,22,20,15,0,27,4,11,3,14,24,30,20,27,20,39,2,11,10,17,5,20,5,3,11,2,4,0,23,5,17,24,10,26,24,24,2.4658173821473777,2.239001288376284,0,15,337.84
38,42,7,79,10,26,11,21,0.02861187380882027,0.14903905981666302,12,20,8,10,13,22,20,14,3,1,2,4,14,17,5,21,22,13,0,29,4,12,2,15,28,25,20,28,20,24,2,6,13,7,5,21,5,3,13,2,4,0,23,5,15,21,13,27,21,22,2.3667843379708144,2.3844319173819124,1,16,472.67
39,43,7,77,8,26,11,22,0.03383172877869448,0.13926651509725818,12,20,8,10,15,24,20,14,3,1,2,4,12,17,5,20,22,12,0,29,4,12,2,14,27,25,20,29,19,21,2,6,13,7,6,21,5,3,13,2,4,0,25,5,15,22,11,27,21,22,2.3519009626536675,2.421163084133892,1,17,452.62
36,42,6,80,7,22,10,18,0.03143567700740193,0.15545986108912496,13,10,9,11,16,20,21,12,3,1,2,4,13,15,19,20,21,16,0,33,4,13,2,15,25,24,21,26,20,26,2,5,12,6,5,20,5,3,12,2,4,0,22,5,16,21,13,27,23,20,2.408906081370891,2.597843297455902,1,16,418.28
39,44,9,76,11,28,9,20,0.03581400867534061,0.10298987231295323,12,19,8,12,13,22,24,13,3,1,2,4,14,17,7,21,19,14,1,28,4,12,2,14,29,28,17,28,19,22,2,8,11,9,6,21,5,3,12,2,4,0,26,5,16,21,12,25,20,23,2.640751659153973,2.554107125720263,4,15,437.51
37,46,14,72,10,30,8,22,0.027829212255440015,0.17995051350369565,13,18,9,10,14,18,19,14,3,1,2,4,16,13,6,19,22,13,1,31,4,13,2,15,27,24,23,30,18,25,2,9,13,7,5,19,5,3,14,2,4,0,23,6,14,23,13,28,27,24,2.5387430062895455,2.3804297837448773,1,16,480.25
37,46,14,69,9,33,8,22,0.02745998635025779,0.19421336168426045,13,18,9,11,17,18,18,15,3,0,2,4,16,13,6,19,24,14,1,31,4,13,2,13,27,24,26,30,17,25,2,9,9,8,16,18,5,3,14,2,4,0,21,6,14,22,11,28,29,25,2.487693006881644,2.3149934611936245,1,18,399.82
34,51,6,73,9,30,9,23,0.04098185401270414,0.17683955150568426,10,18,9,10,14,16,15,13,3,1,2,4,15,13,6,18,21,11,1,33,4,14,3,15,23,27,24,29,18,23,1,10,13,5,6,19,5,3,15,2,4,1,19,7,14,23,10,30,27,24,2.5598462687807646,2.7008293077997347,1,20,479.64
34,51,6,72,10,33,9,25,0.04135836380669642,0.2124816083369707,10,18,9,12,15,15,19,13,3,1,2,3,18,11,7,17,19,11,1,33,4,15,3,14,23,27,25,27,16,21,0,10,14,6,6,19,5,3,10,2,4,1,19,7,18,23,10,30,27,24,2.792807164854088,2.701383102904995,1,21,470.17
31,47,11,72,7,30,7,23,0.04339061894423771,0.1826954619705648,11,17,9,11,14,16,15,12,4,1,2,4,15,13,7,16,23,12,1,31,4,14,3,14,22,27,24,29,18,23,1,10,12,8,7,19,5,3,15,3,4,1,18,7,15,25,12,28,28,23,2.543212845085368,2.7724819518913657,0,23,426.66
35,52,5,66,8,31,9,24,0.031117258657549617,0.16205269408497439,10,19,6,14,14,13,14,16,2,1,2,4,17,12,8,18,21,11,1,34,4,14,4,13,24,29,23,26,5,28,1,7,13,6,6,20,5,3,14,2,4,1,24,6,14,23,12,21,29,21,2.647983342341989,2.6330727643710756,1,19,476.29
35,52,5,65,8,31,8,24,0.030793859794694678,0.16042168172608406,10,19,5,14,14,13,14,19,2,1,2,4,17,12,6,18,21,11,1,34,4,14,4,13,24,29,23,26,5,26,1,7,13,6,6,20,5,3,14,2,4,1,24,6,14,23,12,21,29,19,2.6060480631374627,2.6202069318432564,1,20,479.96
33,50,8,67,8,30,8,24,0.02931140371490301,0.13943030399902176,11,19,5,29,13,14,18,13,2,1,2,4,16,11,6,17,22,10,1,35,4,13,4,14,25,30,25,28,18,26,1,13,12,7,5,20,5,3,13,2,4,0,21,6,15,24,13,29,26,19,2.611629445924668,2.708446754818466,1,22,464.35
36,45,8,64,10,34,8,23,0.046951751685506846,0.12214155991800225,10,18,5,12,15,18,14,12,2,1,2,4,16,14,6,18,25,13,1,37,4,13,4,13,23,29,24,27,6,25,1,8,14,5,6,21,5,3,12,2,4,0,25,6,14,25,10,23,27,24,2.5294386531191195,2.871308459907402,1,20,478.78
37,46,8,65,9,34,8,23,0.04689580322336888,0.12499198209666845,10,18,5,11,14,10,14,11,2,1,2,4,17,14,6,16,25,12,1,36,4,15,4,12,23,29,24,27,5,25,1,8,13,5,6,21,5,3,11,2,4,1,26,6,14,25,10,23,27,24,2.439548780576914,2.8845420841373435,1,20,469.35
36,54,6,63,6,36,8,22,0.03477229322480836,0.13924972194768917,11,19,3,10,15,16,13,20,2,1,2,4,15,13,7,18,23,13,1,38,4,13,4,13,25,28,28,25,6,22,1,9,14,5,7,20,5,2,12,2,4,0,24,7,15,23,10,25,30,22,2.7156290602516346,2.9028153813115374,1,21,460.33
33,44,10,73,7,32,7,25,0.048206219533737535,0.11690233062385866,10,18,4,12,12,18,15,19,2,1,2,4,19,12,6,19,26,11,1,37,4,14,4,13,22,28,23,28,6,30,0,10,14,7,5,21,5,3,15,2,4,0,25,6,14,22,12,23,27,19,2.520880654479674,2.9332534846867575,1,22,482.07
33,44,10,72,7,32,7,25,0.032187307206290705,0.10943138335807137,11,17,4,10,11,19,16,19,2,1,2,4,18,12,7,19,19,11,1,35,4,14,4,12,22,27,22,29,7,36,0,10,12,8,5,19,5,4,15,2,4,1,24,7,16,26,13,21,28,18,2.589217487547889,2.9264562787245847,1,24,474.24
34,56,14,74,6,33,6,26,0.04839354442187135,0.16511887581968407,12,19,4,12,12,17,15,19,2,0,2,3,20,11,6,19,26,11,1,40,4,15,4,15,26,28,23,28,6,30,0,12,11,11,5,20,5,3,14,2,4,0,26,6,14,20,12,24,29,19,2.794606183389149,2.486547333427498,0,22,446.09
35,50,5,69,7,31,10,11,0.04061254757594098,0.1925883330317718,13,18,3,11,14,14,19,20,2,1,4,4,22,15,7,15,21,10,1,33,4,14,3,14,22,27,25,29,5,29,0,7,13,7,7,21,5,3,13,2,4,0,25,6,15,22,11,26,25,20,2.675953334472194,2.8106427060534864,1,22,394.02
32,41,10,71,8,30,7,14,0.04410886616180201,0.14135018027090324,10,13,6,13,18,15,21,21,5,1,2,4,20,10,14,20,20,12,1,36,4,14,3,13,24,26,21,26,7,32,0,9,13,9,6,18,5,2,15,2,4,1,23,7,20,22,14,22,26,18,2.475300897592435,2.6681212200816717,1,19,443.12
37,45,9,60,10,33,9,22,0.046500387945936514,0.12299166851391767,11,19,5,12,17,18,17,19,2,1,2,4,16,14,6,17,26,13,1,37,4,13,4,13,23,29,23,28,6,25,1,7,14,6,6,21,5,3,28,2,4,0,25,6,14,24,11,23,27,17,2.5341141679302965,2.8477998157707036,1,20,477.73
36,47,7,64,9,37,8,23,0.04839453571733281,0.1775079213411927,10,18,5,10,13,19,15,15,2,1,2,4,19,12,6,18,26,12,1,36,4,13,4,12,23,29,19,27,6,26,1,8,14,5,5,19,5,3,12,2,4,0,26,6,14,23,10,24,28,21,2.5288084183494943,2.9534795747727025,1,20,455.33
35,43,6,68,8,34,7,24,0.030427423441656207,0.12998407087857014,10,20,4,13,16,18,14,12,2,1,2,4,15,13,8,19,24,11,1,38,4,15,4,13,21,30,24,30,8,24,1,10,12,6,6,21,5,3,14,2,4,0,25,6,15,22,12,23,27,23,2.4013587495845696,2.783488181245891,1,21,487.17
30,43,6,67,8,35,5,25,0.030395189257981247,0.13224880221049223,12,20,4,14,16,17,18,18,2,1,2,4,15,13,8,20,24,11,1,38,4,15,4,14,20,30,27,30,8,24,0,11,12,7,5,20,5,3,14,2,4,0,24,6,16,22,12,29,25,23,2.3940022517987436,2.76533014231607,1,21,455.66
34,49,6,75,6,29,7,24,0.03845593917232975,0.1576970301197978,11,20,4,13,11,20,13,14,2,1,2,4,17,12,5,19,22,10,1,42,4,14,4,11,20,30,22,29,7,27,1,10,11,6,6,20,5,3,15,2,4,0,27,6,15,20,13,20,29,22,2.421975227549122,2.6363365786709254,1,18,458.61
33,41,12,69,8,32,6,24,0.03205603728979411,0.1505137839868659,15,19,3,11,17,16,17,17,2,1,5,4,14,13,5,20,21,12,0,32,4,15,4,14,21,25,22,30,9,21,1,5,10,6,5,21,5,3,14,2,4,0,23,6,16,22,12,26,24,23,2.5951211923090516,2.55964255101046,1,23,470.89
35,43,5,71,7,31,6,25,0.028821652829647364,0.20720981207808087,11,20,4,14,16,13,19,11,3,1,2,4,15,11,7,19,28,11,1,29,4,15,2,15,22,28,23,29,10,23,2,11,12,13,6,19,5,3,10,2,4,0,24,7,15,21,11,28,26,21,2.4927858046648548,2.6836475666077115,1,16,432.65
31,40,7,73,9,35,9,22,0.02733337548083456,0.1012505332252413,13,19,2,10,12,19,12,13,2,1,2,4,17,15,7,22,22,11,4,30,4,14,2,13,26,27,24,28,5,24,2,9,13,8,5,21,2,4,13,3,4,0,22,6,14,23,14,30,30,24,2.4480190233523103,2.732938466997141,1,17,499.43
31,40,7,62,7,35,7,22,0.027391305754649802,0.10692050171454065,13,19,2,13,12,20,12,15,2,1,2,4,19,16,7,22,24,12,4,30,4,11,2,13,26,24,25,28,5,24,2,9,12,8,5,21,2,4,11,3,4,0,22,6,15,20,14,21,30,26,2.453567243032988,2.7817461763415494,1,17,483.71
